1.01.02.2.01	Pengelolaan Pendidikan Sekolah Dasar
3.31.02.2.01	Penyusunan dan Evaluasi Rencana Pembangunan Industri Kabupaten/Kota
3.31.03.2.01	Penerbitan Izin Usaha Industri (IUI), Izin Perluasan Usaha Industri (IPUI), Izin Usaha Kawasan Industri (IUKI) dan Izin Perluasan Kawasan Industri (IPKI) Kewenangan Kabupaten/Kota
3.31.04.2.01	Penyediaan Informasi Industri untuk Informasi Industri untuk IUI, IPUI, IUKI dan IPKI Kewenangan Kabupaten/Kota
3.31.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
3.31.01.2.02	Administrasi Keuangan Perangkat Daerah
3.31.01.2.04	Administrasi Pendapatan Daerah Kewenangan Perangkat Daerah
3.31.01.2.05	Administrasi Kepegawaian Perangkat Daerah
3.31.01.2.06	Administrasi Umum Perangkat Daerah
3.31.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
3.31.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
3.31.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
4.01.02.2.01	Administrasi Tata Pemerintahan
4.01.02.2.02	Pelaksanaan Kebijakan Kesejahteraan Rakyat
4.01.02.2.03	Fasilitasi dan Koordinasi Hukum
4.01.02.2.04	Fasilitasi Kerja Sama Daerah
4.01.03.2.01	Pelaksanaan Kebijakan Perekonomian
4.01.03.2.02	Pelaksanaan Administrasi Pembangunan
4.01.03.2.03	Pengelolaan Pengadaan Barang dan Jasa
4.01.03.2.04	Pemantauan Kebijakan Sumber Daya Alam
4.01.01.2.02	Administrasi Keuangan Perangkat Daerah
4.01.01.2.05	Administrasi Kepegawaian Perangkat Daerah
4.01.01.2.06	Administrasi Umum Perangkat Daerah
4.01.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
4.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
4.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
4.01.01.2.11	Administrasi Keuangan dan Operasional Kepala Daerah dan Wakil Kepala Daerah
4.01.01.2.12	Fasilitasi Kerumahtanggaan Sekretariat Daerah
4.01.01.2.13	Penataan Organisasi
4.01.01.2.14	Pelaksanaan Protokol dan Komunikasi Pimpinan
4.02.02.2.01	Pembentukan Peraturan Daerah dan Peraturan DPRD
4.02.02.2.02	Pembahasan Kebijakan Anggaran
4.02.02.2.03	Pengawasan Penyelenggaraan Pemerintahan
4.02.02.2.04	Peningkatan Kapasitas DPRD
4.02.02.2.05	Penyerapan dan Penghimpunan Aspirasi Masyarakat
4.02.02.2.06	Pelaksanaan dan Pengawasan Kode Etik DPRD
4.02.02.2.08	Fasilitasi Tugas DPRD
4.02.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
4.02.01.2.02	Administrasi Keuangan Perangkat Daerah
4.02.01.2.05	Administrasi Kepegawaian Perangkat Daerah
4.02.01.2.06	Administrasi Umum Perangkat Daerah
4.02.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
4.02.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
4.02.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
4.02.01.2.15	Layanan Keuangan dan Kesejahteraan DPRD
5.01.02.2.01	Penyusunan Perencanaan dan Pendanaan
5.01.03.2.01	Koordinasi Perencanaan Bidang Pemerintahan dan Pembangunan Manusia
5.01.03.2.02	Koordinasi Perencanaan Bidang Perekonomian dan SDA (Sumber Daya Alam)
5.01.03.2.03	Koordinasi Perencanaan Bidang Infrastruktur dan Kewilayahan
5.01.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
5.01.01.2.02	Administrasi Keuangan Perangkat Daerah
5.01.01.2.06	Administrasi Umum Perangkat Daerah
5.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
5.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
5.05.02.2.02	Penelitian dan Pengembangan Bidang Sosial dan Kependudukan
5.05.02.2.04	Pengembangan Inovasi dan Teknologi
5.02.02.2.01	Koordinasi dan Penyusunan Rencana Anggaran Daerah
5.02.02.2.02	Koordinasi dan Pengelolaan Perbendaharaan Daerah
5.02.02.2.03	Koordinasi dan Pelaksanaan Akuntansi dan Pelaporan Keuangan Daerah
5.02.02.2.04	Penunjang Urusan Kewenangan Pengelolaan Keuangan Daerah
5.02.02.2.05	Pengelolaan Data dan Implementasi Sistem Informasi Pemerintah Daerah Lingkup Keuangan Daerah
5.02.03.2.01	Pengelolaan Barang Milik Daerah
5.02.04.2.01	Kegiatan Pengelolaan Pendapatan Daerah
5.02.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
5.02.01.2.02	Administrasi Keuangan Perangkat Daerah
5.02.01.2.05	Administrasi Kepegawaian Perangkat Daerah
5.02.01.2.06	Administrasi Umum Perangkat Daerah
5.02.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
5.02.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
5.02.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
5.03.02.2.01	Pengadaan, Pemberhentian dan Informasi Kepegawaian ASN
5.03.02.2.02	Mutasi dan Promosi ASN
5.03.02.2.03	Pengembangan Kompetensi ASN
5.03.02.2.04	Penilaian dan Evaluasi Kinerja Aparatur
5.03.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
5.03.01.2.02	Administrasi Keuangan Perangkat Daerah
5.03.01.2.06	Administrasi Umum Perangkat Daerah
5.03.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
5.03.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
5.03.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
5.04.02.2.01	Pengembangan Kompetensi Teknis
5.04.02.2.02	Sertifikasi, Kelembagaan, Pengembangan Kompetensi Manajerial dan Fungsional
6.01.02.2.01	Penyelenggaraan Pengawasan Internal
6.01.02.2.02	Penyelenggaraan Pengawasan dengan Tujuan Tertentu
6.01.03.2.01	Perumusan Kebijakan Teknis di Bidang Pengawasan dan Fasilitasi Pengawasan
6.01.03.2.02	Pendampingan dan Asistensi
6.01.01.2.02	Administrasi Keuangan Perangkat Daerah
6.01.01.2.05	Administrasi Kepegawaian Perangkat Daerah
6.01.01.2.06	Administrasi Umum Perangkat Daerah
6.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
6.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
7.01.02.2.04	Pelaksanaan Urusan Pemerintahan yang Dilimpahkan kepada Camat
7.01.03.2.02	Kegiatan Pemberdayaan Kelurahan
7.01.05.2.01	Penyelenggaraan Urusan Pemerintahan Umum Sesuai Penugasan Kepala Daerah
7.01.06.2.01	"Fasilitasi, Rekomendasi dan Koordinasi

Pembinaan dan Pengawasan Pemerintahan Desa"
7.01.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
7.01.01.2.02	Administrasi Keuangan Perangkat Daerah
7.01.01.2.06	Administrasi Umum Perangkat Daerah
7.01.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
7.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
7.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
7.01.02.2.02	Penyelenggaraan Urusan Pemerintahan yang Tidak Dilaksanakan oleh Unit Kerja Perangkat Daerah yang Ada di Kecamatan
7.01.02.2.03	Koordinasi Pemeliharaan Prasarana dan Sarana Pelayanan Umum
7.01.03.2.01	Koordinasi Kegiatan Pemberdayaan Desa
7.01.03.2.03	Pemberdayaan Lembaga Kemasyarakatan Tingkat Kecamatan
7.01.02.2.01	"Koordinasi Penyelenggaraan Kegiatan

Pemerintahan di Tingkat Kecamatan"
7.01.04.2.01	Koordinasi Upaya Penyelenggaraan Ketenteraman dan Ketertiban Umum
8.01.02.2.01	Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ideologi Pancasila dan Karakter Kebangsaan
8.01.03.2.01	Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pendidikan Politik, Etika Budaya Politik, Peningkatan Demokrasi, Fasilitasi Kelembagaan Pemerintahan, Perwakilan dan Partai Politik, Pemilihan Umum/Pemilihan Umum Kepala Daerah, serta Pemantauan Situasi Politik
8.01.04.2.01	Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Pemberdayaan dan Pengawasan Organisasi Kemasyarakatan
8.01.05.2.01	Perumusan Kebijakan Teknis dan Pemantapan Pelaksanaan Bidang Ketahanan Ekonomi, Sosial dan Budaya
8.01.06.2.01	Perumusan Kebijakan Teknis dan Pelaksanaan Pemantapan Kewaspadaan Nasional dan Penanganan Konflik Sosial
8.01.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
8.01.01.2.02	Administrasi Keuangan Perangkat Daerah
8.01.01.2.06	Administrasi Umum Perangkat Daerah
8.01.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
8.01.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
8.01.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
